"fid","type","year","place"
"LDS9-LVC","Birth","1039","Lillers, Pas-de-Calais, Nord-Pas-de-Calais, France"
"LDS9-L27","Birth","1046","Bailleul, Nord, Hauts-de-France, France"
"9HV7-5V4","Birth","1090","Kingdom of France"
"LYXP-CY4","Birth","1094","Melun, Seine-et-Marne, Île-de-France, France"
"G292-YK4","Birth","1078",NA
"G29C-6CM","Birth","1090",NA
"GZN6-N8X","Birth","1055","Bailleul-Nord-Est, Arrondissement of Dunkirk, Nord, Nord-Pas-de-Calais, France"
"GQCL-JSQ","Birth","1051","Avesnes, Pas-Calés, Heuts-d'Franche, Française"
"GJT3-WH4","Birth","1049","Avesnes-sur-Helpe, Nord, Nord-Pas-de-Calais, France"
"G6Z3-5TW","Birth","1076",NA
"GG9S-FP6","Birth","1084","Estaires, 59212, Nord, Nord-Pas-de-Calais, France"
"GLCD-J4B","Birth","1080",NA
"GG1C-G55","Birth","0999",NA
"GXJ6-KX3","Birth","1020","Saint-Pol-de-Léon, Finistère, Bretagne, France"
"LZDL-KZD","Birth","1018","Hennebont,56700,Morbihan,Bretagne,FRANCE,"
"GG68-KTV","Birth","0940","Montceau-les-Mines, Saône-et-Loire, Bourgogne-Franche-Comté, France"
"GGJQ-6W4","Birth","0945","France"
"GGYK-JVT","Birth","1050",NA
"GM7B-ZTM","Birth","1080","Oignies, Pas-de-Calais, Frankrijk"
"GM7B-ZTQ","Birth","1092","Wingles, Pas-de-Calais, Frankrijk"
"LRJ5-V4J","Birth","1095","Frémicourt, Pas-de-Calais, Hauts-de-France, France"
"GDJT-579","Birth","1087","France"
"LRC2-QWS","Birth","1075","Péronne, Somme, Hauts-de-France, França"
"L6Y8-W65","Birth","1070","Heilly, Somme, Hauts-de-France, França"
"LRCX-PM9","Birth","1073","Louvencourt, Somme, Hauts-de-France, França"
"LRCT-VMZ","Birth","1087","Moreuil, Somme, Hauts-de-France, France"
"GG9S-ZCP","Birth","1081","Lys-lez-Lannoy, 59367, Nord, Nord-Pas-de-Calais, France"
"G93K-6PZ","Birth","1096","Bailleul, Nord, Heuts-d'Franche, Française"
"GGST-1RC","Birth","1108","Merville, Nord, Hauts-de-France, France"
"G7T3-VMZ","Birth","1121","Haverskerque, Nord, Hauts-de-France, France"
"GDJ9-RD9","Birth","1103","Chocques, Pas-de-Calais, Hauts-de-France, France"
"G661-861","Birth","1115","Haverskerque, Nord, Hauts-de-France, France"
"G8MY-WCS","Birth","1115","Scotland"
"GXVC-GNG","Birth","1117","Aberdeen, Aberdeenshire, Scotland"
"G8QJ-D36","Birth",NA,"Mauvoisin, Nord, Nord-Pas-de-Calais, France"
"GKWD-PT3","Birth of Child","1147",NA
"G9SB-LZ9","Birth","1098","Habarcq, Pas-de-Calais, Hauts-de-France, France"
"G7FR-XVB","Birth","1107","Beaufort-Blavincourt, Pas-de-Calais, Hauts-de-France, Frankreich"
"GHN8-6MQ","Birth","1112","Arras, Pas-de-Calais, Nord-Pas-de-Calais, França"
"G7WB-393","Birth","1122","Aubigny-en-Artois, Arras, Pas-de-Calais, Hauts-de-France, France"
"GH8B-89N","Birth","1093","Wanquetin, 62874, Pas-de-Calais, Nord-Pas-de-Calais, France"
"GH8B-V69","Birth of Child","1119","Wanquetin, 62874, Pas-de-Calais, Nord-Pas-de-Calais, France"
"L2TG-Y6K","Birth","1098","Saulty, Pas-de-Calais, Hauts-de-France, France"
"L2TG-YXP","Birth","1115","Orville, Hauts de France, Pas-de-Calais, France"
"G93C-8M4","Birth","1112","Louvencourt, Somme, Hauts-de-France, France"
"G9SM-XNP","Birth","1042","Heilly, Somme, Hauts-de-France, France"
"GHNY-W4X","Birth","1119","Tangry, Arras, Pas-de-Calais, Hauts-de-France, France"
"G314-H3V","Birth","1125","Renty, Saint-Omer, Pas-de-Calais, Hauts-de-France, France"
"LTN8-BLS","Birth","1075","Nédon, Arras, Pas-de-Calais, Hauts-de-France, France"
"LTV1-1VS","Birth","1088","France"
"GNN6-65Y","Birth","1092","Saint-Omer, Pas-de-Calais, Hauts-de-France, France"
"GNN6-2R7","Birth","1108","Rely, Pas-de-Calais, Hauts-de-France, France"
"L2TT-HL1","Birth","1098","Haverskerque, Nord, France"
"GG9S-GCZ","Birth","1109","Halluin, 59279, Nord, Nord-Pas-de-Calais, France"
"GDT8-3QP","Birth","1115",NA
"G6CV-CVG","Birth","1135","Harnes, Pas-de-Calais, Hauts-de-France, France"
"G688-538","Birth","1138","Crecques - Commune de Mametz, Pas-de-Calais, Hauts-de-France, France"
"G7RR-DVD","Birth","1076","Boufflers, Abbeville, Somme, Hauts-de-France, France"
"GW5S-251","Birth","1096","Gournay-en-Bray, Seine-Maritime, Haute-Normandie, France"
"G3LF-8SV","Birth","1090","Cramont, Somme, Hauts-de-France, France"
"G9SM-61X","Birth","1088","Boubers-sur-Canche, Pas-de-Calais, Hauts-de-France, France"
"LRNT-9LH","Birth","1096","Humières, Pas-de-Calais, Hauts-de-France, France"
"G3B6-YV3","Birth","1094","Bernâtre, Amiens, Somme, Hauts-de-France, France"
"GXZ9-87Z","Birth","1110","Gorenflos, Somme, Picardie, France"
"L2FP-7TB","Birth","1086","Auxi-le-Château, Pas-de-Calais, Hauts-de-France, France"
"GMLZ-5XH","Birth","1093","Saint-Riquier, Somme, Hauts-de-France, France"
"G63S-76C","Birth","1085","Avesnes, Pas-de-Calais, Hauts-de-France, France"
"G63S-34F","Birth","1097","Saulty, Pas-de-Calais, Hauts-de-France, France"
"GG98-STT","Birth","1090","Servins, 62793, Pas-de-Calais, Nord-Pas-de-Calais, France"
"GG9Z-PRT","Birth","1105","Mont-Saint-Eloi, 62589, Pas-de-Calais, Nord-Pas-de-Calais, France"
"G6T4-DWV","Birth","1078","Crécy-en-Ponthieu, Somme, Hauts-de-France, France"
"GJT9-JHN","Birth","1095","Cayeux-sur-Mer,80410,Somme,Hauts-de-France,FRANCE,"
"LD88-N23","Birth","1085","Rambures, Somme, Hauts-de-France, France"
"G93C-DGM","Birth","1114","Saint-Riquier, Somme, Hauts-de-France, France"
"L2FG-L98","Birth","1066","Nouvion-en-Ponthieu, Somme, Hauts-de-France, France"
"L2FG-LH5","Birth","1080","Bernieulles, Pas-de-Calais, Hauts-de-France, France"
