"fid","place_birth_lat","place_birth_lon","place_birth","place_death_lat","place_death_lon","place_death"
"G3BV-RSW","51.22136","0.3812","East Peckham, Kent, England","51.22608","0.75054","Roydon Hall, Kent, England"
"G26B-5NR","53.8298","-2.6687","Goosnargh, Lancashire, England, United Kingdom","51.2144","0.3847","Royden Hall, East Peckham, Kent, England"
"L7LY-TFS","53.0934","-6.8453","Ballyshannon, Ireland","56.81674","-4.18396","Scotland"
"GKP7-1KW","54.5024","-8.1909","Ballyshannon, Donegal, Ireland","54.5024","-8.1909","Ballyshannon, Ballyshannon, County Donegal, Ireland"
"L2N2-RRV","54.91084","-7.90151","County Donegal, Ireland",NA,NA,NA
"GK35-73Z","53","-8","Ireland","54.25","-4.5","Isle of Man"
"G7BV-SW7","54.51667","-6.75","Dungannon Castle, Dungannon, Tyrone, Ireland","54.61119","-6.93167","Ulster, Lietrim County, Ireland"
"GQKN-J66","54.43333","-6.08333","Hillsborough Castle, County Down, Ireland","54.61119","-6.93167","Ulster, Ireland"
"LY24-V45","56.45","-5.65","Duart Castle, Argyll, Scotland","55.6294","-2.1706","Branxton, Northumberland, England"
"G22B-9NC","56.81674","-4.18396","Scotland",NA,NA,NA
"GN72-ZHM","56.71667","-5.25","Ardgour, Argyll, Scotland",NA,NA,NA
"G8HV-8M2","56.25","-5.25","Argyll, Scotland",NA,NA,NA
"GSG3-2VN","55.8","-6.2","Islay, Argyll, Scotland","56.35","-6.16667","Burgh, Argyll, Scotland"
"GH3N-6QT","54.61119","-6.93167","Glens Antrim, Ulster, Ireland","57.65","-7.17","Dunnyveg, Islay, Western Isles, Scotland"
"G7Q3-94Y","56.25","-5.25","Argyll, Scotland","56.5399","-5.7813","Morven, Argyll, Scotland"
"LZNS-D1X","54.43333","-6.08333","Hillsborough Castle, County Down, Ireland","56.7","-6.1","Ardnamurchan, Argyll, Scotland"
"LHNH-MQ5","51.3609","-0.0315","Addington, Surrey,England",NA,NA,NA
"LT4L-B7C","52.4379","-1.6496","England","53.3546","-2.4512","High Legh, Cheshire, England, United Kingdom"
"L8RX-72W",NA,NA,NA,NA,NA,NA
"LWQH-GQB","52.1862","-1.1603","Preston Capes, Northamptonshire, England","52.1862","-1.1603","Preston Capes, Northamptonshire, England"
"9S8K-7C9","54.58333","-1.78333","Raby, Durham, England","51.7605","-0.5654","Berkhamsted, Hertfordshire, England, United Kingdom"
