"fid","ascendancy"
"G4BD-B51",1286230
"GHBV-B2Z",1286232
"GZ5Z-GWR",1286233
"G6X7-G8J",1286234
"LRJ1-4YW",1286235
"GZH7-39C",1286236
"GZNK-7RC",1286237
"GG45-YGH",1286238
"L6VD-BJD",1286239
"GXNJ-288",1286256
"LDBP-5MC",1286257
"L1S2-Q46",1286258
"GD5W-T8B",1286259
"GHF7-Q69",1286260
"LTJQ-CF1",1286261
"G7S3-JL7",1286262
"G2L9-BW4",1286263
"GQQN-H3D",1286268
"KNHZ-KCS",1286480
"LKVK-KVH",1286481
"G9TY-MJ9",1286482
"MP5K-9JG",1286483
"GDWF-YFS",1286484
"GKRL-D21",1286485
"LY17-ZLY",1286486
"G6GS-M12",1286487
"GXNJ-288",1286592
"LDBP-5MC",1286593
"L1S2-Q46",1286594
"GD5W-T8B",1286595
"GHF7-Q69",1286596
"LTJQ-CF1",1286597
"G7S3-JL7",1286598
"G2L9-BW4",1286599
"KJ4B-PLN",1286632
"LBZZ-MF2",1286633
"LZDN-JBX",1286636
"LZX9-772",1286637
"LD91-3SZ",1286638
"MMWD-3QP",1286639
"G8NG-7L7",1286912
"LW6R-CH2",1286913
"MPZ3-86X",1286914
"MPZ3-8FQ",1286915
"L8RZ-CK8",1286916
"LT91-T2T",1286917
"L7LP-22V",1286918
"2MQP-R6L",1286919
"G8D2-S8N",1286920
"LZPJ-GTN",1286921
"G6PH-J66",1286922
"L1W2-YBG",1286923
"85ZZ-9ZX",1286924
"MF14-BPP",1286925
"GZKN-CGJ",1286926
"9CZM-J1L",1286927
"GMXR-DY6",1286928
"LZLR-5ZD",1286929
"9SKQ-DMM",1286930
"9Z4L-FSK",1286931
"LBMF-J9J",1286932
"LYJR-K8S",1286933
"GQBP-C9V",1286934
"GHNX-WBZ",1286935
"KPQC-HMQ",1286936
"G8KF-LGX",1286937
"L8BX-ZHN",1286938
"MF6V-C69",1286939
"GX66-N2Z",1286940
"GX43-XPH",1286941
"GZQ1-GTT",1286942
"GD2H-5QL",1286960
"LVDT-5X5",1286962
"K4F4-GKQ",1286963
"G83C-834",1286964
"LZLV-1BJ",1286965
"LYJR-B8Y",1286972
"LB79-M18",1286973
"LB8R-KQG",1286974
"LVZP-19S",1286975
"LKBF-YKZ",1287144
"LKBF-YP9",1287145
"G7BB-771",1287146
"G7BB-9XH",1287147
"G68F-VWN",1287296
"G68F-Y8P",1287297
"M44C-VPD",1287298
"LBRP-VS6",1287299
"G61C-NKR",1287300
"KK73-D62",1287301
"GQ6D-BCM",1287304
"GX2Y-6BJ",1287305
"L6W7-93J",1287306
"G613-4P3",1287307
"G68F-VWN",1287424
"G68F-Y8P",1287425
"M44C-VPD",1287426
"LBRP-VS6",1287427
"G61C-NKR",1287428
"KK73-D62",1287429
"GQ6D-BCM",1287432
"GX2Y-6BJ",1287433
"L6W7-93J",1287434
"G613-4P3",1287435
"L2PW-6LV",1287654
"9ZHM-G6N",1287655
"GV1S-4XB",1287664
"GV7C-SFP",1287665
"G6ZK-C19",1287666
"LR2G-TX6",1287667
"L2PW-6LV",1287782
"9ZHM-G6N",1287783
"GV1S-4XB",1287792
"GV7C-SFP",1287793
"G6ZK-C19",1287794
"LR2G-TX6",1287795
"LZG3-JPG",1287872
"LJG2-MJM",1287873
"GM52-6Q7",1287874
"LTFN-65M",1288192
"LTFN-XZ8",1288193
"LCZ2-P63",1288194
"KZ3W-RH2",1288195
"GQ92-W52",1288196
"GQHV-93P",1288197
"933B-P6K",1288198
"933B-P63",1288199
"GMWR-3HX",1289746
"LZKQ-FNY",1289747
"MMP7-XWY",1289748
"GKNT-9HJ",1289752
"GKNT-SCM",1289753
"LZJT-6M9",1289756
"L8MP-TJY",1289757
"LBMF-J9J",1289758
"GG9R-KCG",1289759
"M24V-DTL",1291264
"G33V-3G5",1291265
"LHKK-4FV",1291312
