"QID","fs","article"
"Q108366","KPSG-4H5","https://en.wikipedia.org/wiki/Gregory_Peck"
"Q131333","L8T9-H5Y","https://en.wikipedia.org/wiki/George_Eliot"
"Q156502","G9DC-YV4","https://en.wikipedia.org/wiki/Emil_H%C3%A1cha"
"Q156532","LC7L-2Q8","https://en.wikipedia.org/wiki/Peter_Graves"
"Q156552","LVNZ-MYM","https://en.wikipedia.org/wiki/Lynn_Redgrave"
"Q156567","LNRV-W1Y","https://en.wikipedia.org/wiki/Henri_Cartier-Bresson"
"Q77029","MHHL-Y2S","https://en.wikipedia.org/wiki/Wilhelm_Julius_Foerster"
"Q77072","KDS6-H7X","https://en.wikipedia.org/wiki/Richard_Willst%C3%A4tter"
"Q77189","GVGP-N5R","https://en.wikipedia.org/wiki/Lothair_III,_Holy_Roman_Emperor"
"Q77510","G8FK-ZL8","https://en.wikipedia.org/wiki/Moritz_Abraham_Stern"
"Q77535","MRYB-NQD","https://en.wikipedia.org/wiki/Friedlieb_Ferdinand_Runge"
"Q86724","MT8N-P1J","https://en.wikipedia.org/wiki/Hugo_Bernatzik"
"Q86796","KHY1-38B","https://en.wikipedia.org/wiki/Benjamin_Wegner"
"Q86978","KN7K-Y5L","https://en.wikipedia.org/wiki/B%C3%A9la_III_of_Hungary"
"Q87038","GQ5S-T2C","https://en.wikipedia.org/wiki/Jakob_Philipp_Kulik"
"Q87685","G76Z-MHK","https://en.wikipedia.org/wiki/Moritz_Gottlieb_Saphir"
"Q108370","G9FG-4V6","https://en.wikipedia.org/wiki/Johann_Theodor_Jablonski"
"Q108510","LX74-ZT7","https://en.wikipedia.org/wiki/James_Garner"
"Q108597","9HZM-8LL","https://en.wikipedia.org/wiki/Dave_Brubeck"
"Q108912","LDRJ-QY4","https://en.wikipedia.org/wiki/Ray_Manzarek"
"Q108941","LRH9-45X","https://en.wikipedia.org/wiki/Carrie_Fisher"
"Q131549","LRVR-DB7","https://en.wikipedia.org/wiki/Claude_Simon"
"Q131691","M93F-1JH","https://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
"Q132105","GSLS-GSB","https://en.wikipedia.org/wiki/Frances_Yates"
"Q156723","L7NM-GZ2","https://en.wikipedia.org/wiki/Louise_of_Mecklenburg-Strelitz"
"Q156898","K8J4-8GR","https://en.wikipedia.org/wiki/Alma_Mahler"
"Q157009","L1S2-FFY","https://en.wikipedia.org/wiki/Prince_Edward,_Duke_of_Kent_and_Strathearn"
"Q157068","LRNS-3S8","https://en.wikipedia.org/wiki/Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma"
"Q78486","ML59-ZM7","https://en.wikipedia.org/wiki/Johann_Palisa"
"Q78485","LZF9-ZWG","https://en.wikipedia.org/wiki/Anna_Freud"
"Q78490","9VH4-1PF","https://en.wikipedia.org/wiki/Thomas_Klestil"
"Q78489","G4HJ-M7P","https://en.wikipedia.org/wiki/Niki_Lauda"
"Q93137","MGQ2-P9J","https://en.wikipedia.org/wiki/P%C3%A4r_Lagerkvist"
